iter	RMSE
0	2.302514606
1	2.29900666
2	2.295191478
3	2.29135426
4	2.288602245
5	2.285678844
6	2.280772501
7	2.277002914
8	2.273459892
9	2.268719566
10	2.265507717
11	2.262165523
12	2.258161066
13	2.254556279
14	2.250902905
15	2.247184736
16	2.243524072
17	2.242198595
18	2.239980066
19	2.237754946
20	2.235701316
21	2.234407001
22	2.230466934
23	2.228552363
24	2.226276783
25	2.221963024
26	2.218464791
27	2.215515188
28	2.21342507
29	2.210523284
30	2.207145527
31	2.202375748
32	2.197159189
33	2.193625881
34	2.18975402
35	2.187032417
36	2.184130337
37	2.182749808
38	2.180050571
39	2.178587903
40	2.17585592
41	2.172610276
42	2.169167948
43	2.166493251
44	2.163347037
45	2.161575253
46	2.158736153
47	2.15692944
48	2.153118289
49	2.150282036
50	2.147101809
51	2.145922186
52	2.143026063
53	2.140908324
54	2.13818262
55	2.137164332
56	2.134603194
57	2.131598431
58	2.128806178
59	2.125196747
60	2.12414343
61	2.121813039
62	2.119985732
63	2.116629538
64	2.114061244
65	2.110525244
66	2.110418271
67	2.108590542
68	2.105459246
69	2.103412134
70	2.101700166
71	2.099193749
72	2.09431298
73	2.0933285
74	2.08880511
75	2.086399171
76	2.08286815
77	2.079095046
78	2.078065881
79	2.07694561
80	2.075594477
81	2.072818999
82	2.069784242
83	2.067429841
84	2.06576932
85	2.062241058
86	2.061195013
87	2.059798028
88	2.057740474
89	2.055832512
90	2.053923838
91	2.051202455
92	2.047809566
93	2.044043156
94	2.042336828
95	2.039536772
96	2.037683655
97	2.035241794
98	2.032784284
99	2.029517545
100	2.028548148
101	2.027046636
102	2.024450087
103	2.01998956
104	2.017930046
105	2.014402522
106	2.011911319
107	2.008842173
108	2.007758223
109	2.007471441
110	2.005161006
111	2.003761667
112	2.002957673
113	2.001368014
114	1.999070284
115	1.998056383
116	1.996414305
117	1.994027537
118	1.992626178
119	1.991283884
120	1.989018
121	1.987905273
122	1.986391171
123	1.986229882
124	1.984870829
125	1.981813784
126	1.979153647
127	1.977729412
128	1.975722145
129	1.974366393
130	1.972981321
131	1.971623009
132	1.970690263
133	1.96858084
134	1.968061968
135	1.965687945
136	1.962548319
137	1.961433129
138	1.959745969
139	1.958383696
140	1.956053321
141	1.952611031
142	1.951242779
143	1.949281634
144	1.9467791
145	1.945797177
146	1.943474076
147	1.94175193
148	1.940008321
149	1.938879204
150	1.937243462
151	1.935742027
152	1.935215545
153	1.93333914
154	1.931268721
155	1.929246485
156	1.927305972
157	1.925590676
158	1.923348736
159	1.920833137
160	1.918708943
161	1.916201823
162	1.914381579
163	1.913801239
164	1.910760196
165	1.907830442
166	1.9069408
167	1.904549104
168	1.902359738
169	1.900537483
170	1.897287302
171	1.894854895
172	1.893726162
173	1.892822481
174	1.890931546
175	1.8884992
176	1.888299718
177	1.888105906
178	1.885938822
179	1.884405976
180	1.882335306
181	1.881216767
182	1.878151754
183	1.877956763
184	1.876145625
185	1.875253908
