iter	Passed	Remaining
0	167	167270
1	180	90130
2	193	64436
3	207	51709
4	219	43678
5	230	38220
6	244	34683
7	256	31843
8	269	29651
9	281	27830
10	294	26518
11	307	25289
12	320	24298
13	331	23380
14	344	22597
15	356	21935
16	369	21337
17	383	20922
18	399	20651
19	421	20641
20	436	20345
21	451	20068
22	465	19758
23	477	19434
24	493	19231
25	507	19003
26	520	18774
27	536	18639
28	555	18599
29	571	18479
30	587	18372
31	601	18205
32	616	18075
33	633	17997
34	649	17916
35	666	17835
36	679	17692
37	694	17579
38	707	17426
39	720	17301
40	736	17226
41	750	17118
42	766	17057
43	781	16972
44	795	16887
45	811	16835
46	833	16895
47	849	16850
48	867	16841
49	885	16819
50	903	16821
51	918	16748
52	931	16643
53	943	16525
54	957	16449
55	963	16241
56	976	16146
57	987	16038
58	1000	15961
59	1013	15883
60	1025	15786
61	1036	15685
62	1050	15626
63	1064	15562
64	1078	15512
65	1091	15444
66	1094	15242
67	1106	15163
68	1119	15108
69	1132	15041
70	1144	14975
71	1156	14906
72	1170	14866
73	1182	14803
74	1195	14740
75	1207	14679
76	1220	14630
77	1231	14556
78	1243	14496
79	1258	14467
80	1274	14456
81	1287	14408
82	1298	14344
83	1311	14305
84	1325	14264
85	1337	14213
86	1349	14157
87	1361	14112
88	1374	14073
89	1387	14033
90	1399	13981
91	1413	13949
92	1425	13900
93	1437	13854
94	1449	13806
95	1460	13757
96	1473	13713
97	1484	13667
98	1496	13621
99	1510	13595
100	1522	13554
101	1534	13507
102	1546	13468
103	1558	13428
104	1571	13396
105	1584	13362
106	1598	13336
107	1609	13291
108	1621	13257
109	1628	13179
110	1640	13139
111	1653	13108
112	1665	13074
113	1680	13061
114	1696	13059
115	1713	13060
116	1728	13046
117	1743	13035
118	1757	13010
119	1771	12991
120	1785	12973
121	1796	12929
122	1813	12931
123	1828	12918
124	1843	12901
125	1858	12892
126	1871	12866
127	1886	12852
128	1901	12836
129	1919	12847
130	1934	12830
131	1948	12815
132	1963	12801
133	1977	12782
134	1992	12767
135	2008	12757
136	2020	12730
137	2035	12711
138	2049	12697
139	2065	12685
140	2080	12674
141	2099	12686
142	2122	12719
143	2135	12696
144	2150	12681
145	2165	12664
146	2180	12649
147	2194	12635
148	2209	12617
149	2227	12622
150	2241	12603
151	2254	12579
152	2268	12557
153	2281	12533
154	2295	12511
155	2309	12493
156	2323	12473
157	2337	12455
158	2350	12431
159	2363	12409
160	2377	12390
161	2391	12368
162	2405	12352
163	2415	12310
164	2429	12296
165	2443	12276
166	2456	12255
167	2471	12237
168	2484	12217
169	2498	12196
170	2518	12207
171	2530	12179
172	2542	12156
173	2555	12133
174	2569	12115
175	2583	12094
176	2597	12077
177	2610	12054
178	2623	12033
179	2638	12018
180	2652	12001
181	2665	11980
182	2678	11958
183	2691	11936
